episode_index,round,sequence_in_round,start_position,split
0,1,1,near_left,train
1,1,2,far_left,train
2,1,3,center,train
3,1,4,near_right,train
4,1,5,far_right,train
5,2,1,far_left,train
6,2,2,center,train
7,2,3,near_right,train
8,2,4,far_right,train
9,2,5,near_left,train
10,3,1,center,train
11,3,2,near_right,train
12,3,3,far_right,train
13,3,4,near_left,train
14,3,5,far_left,train
15,4,1,near_right,train
16,4,2,far_right,train
17,4,3,near_left,train
18,4,4,far_left,train
19,4,5,center,train
20,5,1,far_right,validation
21,5,2,near_left,validation
22,5,3,far_left,validation
23,5,4,center,validation
24,5,5,near_right,validation
25,6,1,near_left,train
26,6,2,far_right,train
27,6,3,near_right,train
28,6,4,center,train
29,6,5,far_left,train
30,7,1,far_left,train
31,7,2,near_left,train
32,7,3,far_right,train
33,7,4,near_right,train
34,7,5,center,train
35,8,1,center,train
36,8,2,far_left,train
37,8,3,near_left,train
38,8,4,far_right,train
39,8,5,near_right,train
40,9,1,near_right,train
41,9,2,center,train
42,9,3,far_left,train
43,9,4,near_left,train
44,9,5,far_right,train
45,10,1,far_right,validation
46,10,2,near_right,validation
47,10,3,center,validation
48,10,4,far_left,validation
49,10,5,near_left,validation
